order_date,product_id,warehouse_id,units_ordered,unit_cost
2026-01-14,IC016,CW01,12,1.55
2026-01-14,IC016,CW02,9,1.55
2026-01-14,IC016,CW03,11,1.55
2026-01-14,IC016,CW04,13,1.55
2026-01-14,IC016,CW05,6,1.55
2026-01-14,IC017,CW01,6,3.3
2026-01-14,IC017,CW02,15,3.3
2026-01-14,IC017,CW03,13,3.3
2026-01-14,IC017,CW04,14,3.3
2026-01-14,IC017,CW05,14,3.3
2026-01-14,IC018,CW01,15,5.15
2026-01-14,IC018,CW02,8,5.15
2026-01-14,IC018,CW03,9,5.15
2026-01-14,IC018,CW04,6,5.15
2026-01-14,IC018,CW05,14,5.15
2026-01-14,IC019,CW01,11,3.32
2026-01-14,IC019,CW02,8,3.32
2026-01-14,IC019,CW03,18,3.32
2026-01-14,IC019,CW04,8,3.32
2026-01-14,IC019,CW05,14,3.32
2026-01-14,IC020,CW01,16,1.45
2026-01-14,IC020,CW02,17,1.45
2026-01-14,IC020,CW03,13,1.45
2026-01-14,IC020,CW04,10,1.45
2026-01-14,IC020,CW05,5,1.45
2026-01-14,IC021,CW01,14,3.44
2026-01-14,IC021,CW02,10,3.44
2026-01-14,IC021,CW03,12,3.44
2026-01-14,IC021,CW04,13,3.44
2026-01-14,IC021,CW05,12,3.44
2026-01-14,IC022,CW01,15,3.68
2026-01-14,IC022,CW02,18,3.68
2026-01-14,IC022,CW03,11,3.68
2026-01-14,IC022,CW04,12,3.68
2026-01-14,IC022,CW05,18,3.68
2026-01-15,IC001,CW01,10,1.94
2026-01-15,IC001,CW02,10,1.94
2026-01-15,IC001,CW03,7,1.94
2026-01-15,IC001,CW04,9,1.94
2026-01-15,IC001,CW05,12,1.94
2026-01-15,IC002,CW01,11,1.37
2026-01-15,IC002,CW02,6,1.37
2026-01-15,IC002,CW03,11,1.37
2026-01-15,IC002,CW04,12,1.37
2026-01-15,IC002,CW05,16,1.37
2026-01-15,IC003,CW01,8,1.34
2026-01-15,IC003,CW02,5,1.34
2026-01-15,IC003,CW03,9,1.34
2026-01-15,IC003,CW04,24,1.34
2026-01-15,IC003,CW05,11,1.34
2026-01-15,IC004,CW01,7,4.32
2026-01-15,IC004,CW02,25,4.32
2026-01-15,IC004,CW03,14,4.32
2026-01-15,IC004,CW04,19,4.32
2026-01-15,IC004,CW05,8,4.32
2026-01-15,IC005,CW01,9,2.02
2026-01-15,IC005,CW02,15,2.02
2026-01-15,IC005,CW03,7,2.02
2026-01-15,IC005,CW04,20,2.02
2026-01-15,IC005,CW05,16,2.02
2026-01-15,IC006,CW01,11,3.1
2026-01-15,IC006,CW02,11,3.1
2026-01-15,IC006,CW03,14,3.1
2026-01-15,IC006,CW04,12,3.1
2026-01-15,IC006,CW05,11,3.1
2026-01-15,IC007,CW01,14,5.07
2026-01-15,IC007,CW02,10,5.07
2026-01-15,IC007,CW03,18,5.07
2026-01-15,IC007,CW04,22,5.07
2026-01-15,IC007,CW05,10,5.07
2026-01-15,IC008,CW01,18,2.75
2026-01-15,IC008,CW02,11,2.75
2026-01-15,IC008,CW03,6,2.75
2026-01-15,IC008,CW04,22,2.75
2026-01-15,IC008,CW05,12,2.75
2026-01-15,IC009,CW01,13,1.44
2026-01-15,IC009,CW02,12,1.44
2026-01-15,IC009,CW03,15,1.44
2026-01-15,IC009,CW04,6,1.44
2026-01-15,IC009,CW05,13,1.44
2026-01-15,IC010,CW01,11,5.79
2026-01-15,IC010,CW02,8,5.79
2026-01-15,IC010,CW03,6,5.79
2026-01-15,IC010,CW04,10,5.79
2026-01-15,IC010,CW05,6,5.79
2026-01-15,IC011,CW01,13,3.13
2026-01-15,IC011,CW02,9,3.13
2026-01-15,IC011,CW03,18,3.13
2026-01-15,IC011,CW04,4,3.13
2026-01-15,IC011,CW05,12,3.13
2026-01-15,IC012,CW01,9,4.92
2026-01-15,IC012,CW02,8,4.92
2026-01-15,IC012,CW03,10,4.92
2026-01-15,IC012,CW04,15,4.92
2026-01-15,IC012,CW05,10,4.92
2026-01-15,IC013,CW01,9,2.5
2026-01-15,IC013,CW02,9,2.5
2026-01-15,IC013,CW03,11,2.5
2026-01-15,IC013,CW04,7,2.5
2026-01-15,IC013,CW05,8,2.5
2026-01-15,IC014,CW01,8,4.59
2026-01-15,IC014,CW02,16,4.59
2026-01-15,IC014,CW03,15,4.59
2026-01-15,IC014,CW04,11,4.59
2026-01-15,IC014,CW05,12,4.59
2026-01-15,IC015,CW01,13,5.31
2026-01-15,IC015,CW02,7,5.31
2026-01-15,IC015,CW03,7,5.31
2026-01-15,IC015,CW04,11,5.31
2026-01-15,IC015,CW05,13,5.31
2026-01-15,IC016,CW01,11,1.55
2026-01-15,IC016,CW02,14,1.55
2026-01-15,IC016,CW03,7,1.55
2026-01-15,IC016,CW04,18,1.55
2026-01-15,IC016,CW05,12,1.55
2026-01-15,IC017,CW01,7,3.3
2026-01-15,IC017,CW02,7,3.3
2026-01-15,IC017,CW03,16,3.3
2026-01-15,IC017,CW04,10,3.3
2026-01-15,IC017,CW05,6,3.3
2026-01-15,IC018,CW01,13,5.15
2026-01-15,IC018,CW02,11,5.15
2026-01-15,IC018,CW03,16,5.15
2026-01-15,IC018,CW04,10,5.15
2026-01-15,IC018,CW05,23,5.15
2026-01-15,IC019,CW01,11,3.32
2026-01-15,IC019,CW02,8,3.32
2026-01-15,IC019,CW03,7,3.32
2026-01-15,IC019,CW04,12,3.32
2026-01-15,IC019,CW05,12,3.32
2026-01-15,IC020,CW01,18,1.45
2026-01-15,IC020,CW02,5,1.45
2026-01-15,IC020,CW03,13,1.45
2026-01-15,IC020,CW04,12,1.45
2026-01-15,IC020,CW05,16,1.45
2026-01-15,IC021,CW01,18,3.44
2026-01-15,IC021,CW02,10,3.44
2026-01-15,IC021,CW03,11,3.44
2026-01-15,IC021,CW04,10,3.44
2026-01-15,IC021,CW05,12,3.44
2026-01-15,IC022,CW01,7,3.68
2026-01-15,IC022,CW02,10,3.68
2026-01-15,IC022,CW03,14,3.68
2026-01-15,IC022,CW04,1,3.68
2026-01-15,IC022,CW05,17,3.68
2026-01-16,IC001,CW01,17,1.94
2026-01-16,IC001,CW02,13,1.94
2026-01-16,IC001,CW03,13,1.94
2026-01-16,IC001,CW04,16,1.94
2026-01-16,IC001,CW05,12,1.94
2026-01-16,IC002,CW01,19,1.37
2026-01-16,IC002,CW02,8,1.37
2026-01-16,IC002,CW03,16,1.37
2026-01-16,IC002,CW04,22,1.37
2026-01-16,IC002,CW05,17,1.37
2026-01-16,IC003,CW01,18,1.34
2026-01-16,IC003,CW02,20,1.34
2026-01-16,IC003,CW03,20,1.34
2026-01-16,IC003,CW04,12,1.34
2026-01-16,IC003,CW05,15,1.34
2026-01-16,IC004,CW01,20,4.32
2026-01-16,IC004,CW02,9,4.32
2026-01-16,IC004,CW03,20,4.32
2026-01-16,IC004,CW04,18,4.32
2026-01-16,IC004,CW05,20,4.32
2026-01-16,IC005,CW01,23,2.02
2026-01-16,IC005,CW02,16,2.02
2026-01-16,IC005,CW03,10,2.02
2026-01-16,IC005,CW04,14,2.02
2026-01-16,IC005,CW05,12,2.02
2026-01-16,IC006,CW01,11,3.1
2026-01-16,IC006,CW02,19,3.1
2026-01-16,IC006,CW03,20,3.1
2026-01-16,IC006,CW04,14,3.1
2026-01-16,IC006,CW05,12,3.1
2026-01-16,IC007,CW01,8,5.07
2026-01-16,IC007,CW02,9,5.07
2026-01-16,IC007,CW03,16,5.07
2026-01-16,IC007,CW04,27,5.07
2026-01-16,IC007,CW05,25,5.07
2026-01-16,IC008,CW01,14,2.75
2026-01-16,IC008,CW02,11,2.75
2026-01-16,IC008,CW03,24,2.75
2026-01-16,IC008,CW04,22,2.75
2026-01-16,IC008,CW05,10,2.75
2026-01-16,IC009,CW01,23,1.44
2026-01-16,IC009,CW02,14,1.44
2026-01-16,IC009,CW03,23,1.44
2026-01-16,IC009,CW04,15,1.44
2026-01-16,IC009,CW05,26,1.44
2026-01-16,IC010,CW01,12,5.79
2026-01-16,IC010,CW02,20,5.79
2026-01-16,IC010,CW03,26,5.79
2026-01-16,IC010,CW04,25,5.79
2026-01-16,IC010,CW05,15,5.79
2026-01-16,IC011,CW01,13,3.13
2026-01-16,IC011,CW02,13,3.13
2026-01-16,IC011,CW03,13,3.13
2026-01-16,IC011,CW04,15,3.13
2026-01-16,IC011,CW05,22,3.13
2026-01-16,IC012,CW01,27,4.92
2026-01-16,IC012,CW02,27,4.92
2026-01-16,IC012,CW03,19,4.92
2026-01-16,IC012,CW04,14,4.92
2026-01-16,IC012,CW05,14,4.92
2026-01-16,IC013,CW01,14,2.5
2026-01-16,IC013,CW02,15,2.5
2026-01-16,IC013,CW03,23,2.5
2026-01-16,IC013,CW04,24,2.5
2026-01-16,IC013,CW05,18,2.5
2026-01-16,IC014,CW01,19,4.59
2026-01-16,IC014,CW02,11,4.59
2026-01-16,IC014,CW03,19,4.59
2026-01-16,IC014,CW04,13,4.59
2026-01-16,IC014,CW05,22,4.59
2026-01-16,IC015,CW01,17,5.31
2026-01-16,IC015,CW02,19,5.31
2026-01-16,IC015,CW03,23,5.31
2026-01-16,IC015,CW04,16,5.31
2026-01-16,IC015,CW05,15,5.31
2026-01-16,IC016,CW01,15,1.55
2026-01-16,IC016,CW02,18,1.55
2026-01-16,IC016,CW03,20,1.55
2026-01-16,IC016,CW04,23,1.55
2026-01-16,IC016,CW05,19,1.55
2026-01-16,IC017,CW01,23,3.3
2026-01-16,IC017,CW02,21,3.3
2026-01-16,IC017,CW03,17,3.3
2026-01-16,IC017,CW04,15,3.3
2026-01-16,IC017,CW05,12,3.3
2026-01-16,IC018,CW01,22,5.15
2026-01-16,IC018,CW02,17,5.15
2026-01-16,IC018,CW03,20,5.15
2026-01-16,IC018,CW04,29,5.15
2026-01-16,IC018,CW05,11,5.15
2026-01-16,IC019,CW01,22,3.32
2026-01-16,IC019,CW02,6,3.32
2026-01-16,IC019,CW03,13,3.32
2026-01-16,IC019,CW04,20,3.32
2026-01-16,IC019,CW05,15,3.32
2026-01-16,IC020,CW01,21,1.45
2026-01-16,IC020,CW02,9,1.45
2026-01-16,IC020,CW03,12,1.45
2026-01-16,IC020,CW04,20,1.45
2026-01-16,IC020,CW05,15,1.45
2026-01-16,IC021,CW01,15,3.44
2026-01-16,IC021,CW02,23,3.44
2026-01-16,IC021,CW03,9,3.44
2026-01-16,IC021,CW04,26,3.44
2026-01-16,IC021,CW05,29,3.44
2026-01-16,IC022,CW01,21,3.68
2026-01-16,IC022,CW02,11,3.68
2026-01-16,IC022,CW03,22,3.68
2026-01-16,IC022,CW04,9,3.68
2026-01-16,IC022,CW05,18,3.68
2026-01-17,IC001,CW01,11,1.94
2026-01-17,IC001,CW02,12,1.94
2026-01-17,IC001,CW03,11,1.94
2026-01-17,IC001,CW04,21,1.94
2026-01-17,IC001,CW05,17,1.94
2026-01-17,IC002,CW01,12,1.37
2026-01-17,IC002,CW02,17,1.37
2026-01-17,IC002,CW03,15,1.37
2026-01-17,IC002,CW04,7,1.37
2026-01-17,IC002,CW05,17,1.37
2026-01-17,IC003,CW01,24,1.34
2026-01-17,IC003,CW02,11,1.34
2026-01-17,IC003,CW03,19,1.34
2026-01-17,IC003,CW04,16,1.34
2026-01-17,IC003,CW05,15,1.34
2026-01-17,IC004,CW01,21,4.32
2026-01-17,IC004,CW02,24,4.32
2026-01-17,IC004,CW03,14,4.32
2026-01-17,IC004,CW04,8,4.32
2026-01-17,IC004,CW05,14,4.32
2026-01-17,IC005,CW01,15,2.02
2026-01-17,IC005,CW02,19,2.02
2026-01-17,IC005,CW03,16,2.02
2026-01-17,IC005,CW04,16,2.02
2026-01-17,IC005,CW05,28,2.02
2026-01-17,IC006,CW01,23,3.1
2026-01-17,IC006,CW02,12,3.1
2026-01-17,IC006,CW03,17,3.1
2026-01-17,IC006,CW04,19,3.1
2026-01-17,IC006,CW05,7,3.1
2026-01-17,IC007,CW01,24,5.07
2026-01-17,IC007,CW02,24,5.07
2026-01-17,IC007,CW03,13,5.07
2026-01-17,IC007,CW04,11,5.07
2026-01-17,IC007,CW05,20,5.07
2026-01-17,IC008,CW01,14,2.75
2026-01-17,IC008,CW02,20,2.75
2026-01-17,IC008,CW03,19,2.75
2026-01-17,IC008,CW04,13,2.75
2026-01-17,IC008,CW05,16,2.75
2026-01-17,IC009,CW01,8,1.44
2026-01-17,IC009,CW02,14,1.44
2026-01-17,IC009,CW03,9,1.44
2026-01-17,IC009,CW04,17,1.44
2026-01-17,IC009,CW05,20,1.44
2026-01-17,IC010,CW01,10,5.79
2026-01-17,IC010,CW02,27,5.79
2026-01-17,IC010,CW03,28,5.79
2026-01-17,IC010,CW04,19,5.79
2026-01-17,IC010,CW05,18,5.79
2026-01-17,IC011,CW01,25,3.13
2026-01-17,IC011,CW02,16,3.13
2026-01-17,IC011,CW03,16,3.13
2026-01-17,IC011,CW04,15,3.13
2026-01-17,IC011,CW05,26,3.13
2026-01-17,IC012,CW01,17,4.92
2026-01-17,IC012,CW02,20,4.92
2026-01-17,IC012,CW03,17,4.92
2026-01-17,IC012,CW04,19,4.92
2026-01-17,IC012,CW05,12,4.92
2026-01-17,IC013,CW01,18,2.5
2026-01-17,IC013,CW02,20,2.5
2026-01-17,IC013,CW03,7,2.5
2026-01-17,IC013,CW04,21,2.5
2026-01-17,IC013,CW05,22,2.5
2026-01-17,IC014,CW01,22,4.59
2026-01-17,IC014,CW02,28,4.59
2026-01-17,IC014,CW03,15,4.59
2026-01-17,IC014,CW04,14,4.59
2026-01-17,IC014,CW05,17,4.59
2026-01-17,IC015,CW01,11,5.31
2026-01-17,IC015,CW02,18,5.31
2026-01-17,IC015,CW03,12,5.31
2026-01-17,IC015,CW04,15,5.31
2026-01-17,IC015,CW05,17,5.31
2026-01-17,IC016,CW01,22,1.55
2026-01-17,IC016,CW02,25,1.55
2026-01-17,IC016,CW03,13,1.55
2026-01-17,IC016,CW04,14,1.55
2026-01-17,IC016,CW05,18,1.55
2026-01-17,IC017,CW01,19,3.3
2026-01-17,IC017,CW02,19,3.3
2026-01-17,IC017,CW03,19,3.3
2026-01-17,IC017,CW04,14,3.3
2026-01-17,IC017,CW05,16,3.3
2026-01-17,IC018,CW01,13,5.15
2026-01-17,IC018,CW02,24,5.15
2026-01-17,IC018,CW03,9,5.15
2026-01-17,IC018,CW04,18,5.15
2026-01-17,IC018,CW05,12,5.15
2026-01-17,IC019,CW01,13,3.32
2026-01-17,IC019,CW02,10,3.32
2026-01-17,IC019,CW03,16,3.32
2026-01-17,IC019,CW04,16,3.32
2026-01-17,IC019,CW05,15,3.32
2026-01-17,IC020,CW01,12,1.45
2026-01-17,IC020,CW02,12,1.45
2026-01-17,IC020,CW03,17,1.45
2026-01-17,IC020,CW04,15,1.45
2026-01-17,IC020,CW05,16,1.45
2026-01-17,IC021,CW01,17,3.44
2026-01-17,IC021,CW02,19,3.44
2026-01-17,IC021,CW03,8,3.44
2026-01-17,IC021,CW04,17,3.44
2026-01-17,IC021,CW05,17,3.44
2026-01-17,IC022,CW01,13,3.68
2026-01-17,IC022,CW02,15,3.68
2026-01-17,IC022,CW03,21,3.68
2026-01-17,IC022,CW04,12,3.68
2026-01-17,IC022,CW05,16,3.68
2026-01-18,IC001,CW01,27,1.94
2026-01-18,IC001,CW02,13,1.94
2026-01-18,IC001,CW03,14,1.94
2026-01-18,IC001,CW04,26,1.94
2026-01-18,IC001,CW05,28,1.94
2026-01-18,IC002,CW01,10,1.37
2026-01-18,IC002,CW02,23,1.37
2026-01-18,IC002,CW03,15,1.37
2026-01-18,IC002,CW04,21,1.37
2026-01-18,IC002,CW05,11,1.37
2026-01-18,IC003,CW01,13,1.34
2026-01-18,IC003,CW02,21,1.34
2026-01-18,IC003,CW03,6,1.34
2026-01-18,IC003,CW04,18,1.34
2026-01-18,IC003,CW05,16,1.34
2026-01-18,IC004,CW01,23,4.32
2026-01-18,IC004,CW02,14,4.32
2026-01-18,IC004,CW03,18,4.32
2026-01-18,IC004,CW04,27,4.32
2026-01-18,IC004,CW05,13,4.32
2026-01-18,IC005,CW01,9,2.02
2026-01-18,IC005,CW02,17,2.02
2026-01-18,IC005,CW03,19,2.02
2026-01-18,IC005,CW04,20,2.02
2026-01-18,IC005,CW05,20,2.02
2026-01-18,IC006,CW01,14,3.1
2026-01-18,IC006,CW02,18,3.1
2026-01-18,IC006,CW03,10,3.1
2026-01-18,IC006,CW04,15,3.1
2026-01-18,IC006,CW05,10,3.1
2026-01-18,IC007,CW01,22,5.07
2026-01-18,IC007,CW02,12,5.07
2026-01-18,IC007,CW03,22,5.07
2026-01-18,IC007,CW04,16,5.07
2026-01-18,IC007,CW05,9,5.07
2026-01-18,IC008,CW01,17,2.75
2026-01-18,IC008,CW02,19,2.75
2026-01-18,IC008,CW03,27,2.75
2026-01-18,IC008,CW04,19,2.75
2026-01-18,IC008,CW05,14,2.75
2026-01-18,IC009,CW01,21,1.44
2026-01-18,IC009,CW02,10,1.44
2026-01-18,IC009,CW03,24,1.44
2026-01-18,IC009,CW04,21,1.44
2026-01-18,IC009,CW05,13,1.44
2026-01-18,IC010,CW01,20,5.79
2026-01-18,IC010,CW02,21,5.79
2026-01-18,IC010,CW03,3,5.79
2026-01-18,IC010,CW04,9,5.79
2026-01-18,IC010,CW05,18,5.79
2026-01-18,IC011,CW01,20,3.13
2026-01-18,IC011,CW02,21,3.13
2026-01-18,IC011,CW03,22,3.13
2026-01-18,IC011,CW04,14,3.13
2026-01-18,IC011,CW05,8,3.13
2026-01-18,IC012,CW01,19,4.92
2026-01-18,IC012,CW02,21,4.92
2026-01-18,IC012,CW03,16,4.92
2026-01-18,IC012,CW04,17,4.92
2026-01-18,IC012,CW05,28,4.92
2026-01-18,IC013,CW01,17,2.5
2026-01-18,IC013,CW02,14,2.5
2026-01-18,IC013,CW03,18,2.5
2026-01-18,IC013,CW04,14,2.5
2026-01-18,IC013,CW05,16,2.5
2026-01-18,IC014,CW01,26,4.59
2026-01-18,IC014,CW02,24,4.59
2026-01-18,IC014,CW03,22,4.59
2026-01-18,IC014,CW04,11,4.59
2026-01-18,IC014,CW05,8,4.59
2026-01-18,IC015,CW01,21,5.31
2026-01-18,IC015,CW02,20,5.31
2026-01-18,IC015,CW03,14,5.31
2026-01-18,IC015,CW04,17,5.31
2026-01-18,IC015,CW05,22,5.31
2026-01-18,IC016,CW01,13,1.55
2026-01-18,IC016,CW02,27,1.55
2026-01-18,IC016,CW03,16,1.55
2026-01-18,IC016,CW04,15,1.55
2026-01-18,IC016,CW05,8,1.55
2026-01-18,IC017,CW01,15,3.3
2026-01-18,IC017,CW02,21,3.3
2026-01-18,IC017,CW03,17,3.3
2026-01-18,IC017,CW04,20,3.3
2026-01-18,IC017,CW05,26,3.3
2026-01-18,IC018,CW01,13,5.15
2026-01-18,IC018,CW02,26,5.15
2026-01-18,IC018,CW03,13,5.15
2026-01-18,IC018,CW04,2,5.15
2026-01-18,IC018,CW05,17,5.15
2026-01-18,IC019,CW01,22,3.32
2026-01-18,IC019,CW02,12,3.32
2026-01-18,IC019,CW03,14,3.32
2026-01-18,IC019,CW04,17,3.32
2026-01-18,IC019,CW05,9,3.32
2026-01-18,IC020,CW01,19,1.45
2026-01-18,IC020,CW02,18,1.45
2026-01-18,IC020,CW03,11,1.45
2026-01-18,IC020,CW04,13,1.45
2026-01-18,IC020,CW05,12,1.45
2026-01-18,IC021,CW01,17,3.44
2026-01-18,IC021,CW02,15,3.44
2026-01-18,IC021,CW03,18,3.44
2026-01-18,IC021,CW04,9,3.44
2026-01-18,IC021,CW05,20,3.44
2026-01-18,IC022,CW01,12,3.68
2026-01-18,IC022,CW02,15,3.68
2026-01-18,IC022,CW03,20,3.68
2026-01-18,IC022,CW04,22,3.68
2026-01-18,IC022,CW05,9,3.68
2026-01-19,IC001,CW01,11,1.94
2026-01-19,IC001,CW02,21,1.94
2026-01-19,IC001,CW03,7,1.94
2026-01-19,IC001,CW04,12,1.94
2026-01-19,IC001,CW05,20,1.94
2026-01-19,IC002,CW01,12,1.37
2026-01-19,IC002,CW02,17,1.37
2026-01-19,IC002,CW03,18,1.37
2026-01-19,IC002,CW04,12,1.37
2026-01-19,IC002,CW05,15,1.37
2026-01-19,IC003,CW01,10,1.34
2026-01-19,IC003,CW02,18,1.34
2026-01-19,IC003,CW03,6,1.34
2026-01-19,IC003,CW04,10,1.34
2026-01-19,IC003,CW05,13,1.34
2026-01-19,IC004,CW01,9,4.32
2026-01-19,IC004,CW02,13,4.32
2026-01-19,IC004,CW03,13,4.32
2026-01-19,IC004,CW04,12,4.32
2026-01-19,IC004,CW05,13,4.32
2026-01-19,IC005,CW01,12,2.02
2026-01-19,IC005,CW02,10,2.02
2026-01-19,IC005,CW03,10,2.02
2026-01-19,IC005,CW04,16,2.02
2026-01-19,IC005,CW05,16,2.02
2026-01-19,IC006,CW01,13,3.1
2026-01-19,IC006,CW02,11,3.1
2026-01-19,IC006,CW03,12,3.1
2026-01-19,IC006,CW04,21,3.1
2026-01-19,IC006,CW05,10,3.1
2026-01-19,IC007,CW01,11,5.07
2026-01-19,IC007,CW02,19,5.07
2026-01-19,IC007,CW03,17,5.07
2026-01-19,IC007,CW04,13,5.07
2026-01-19,IC007,CW05,7,5.07
2026-01-19,IC008,CW01,11,2.75
2026-01-19,IC008,CW02,13,2.75
2026-01-19,IC008,CW03,14,2.75
2026-01-19,IC008,CW04,13,2.75
2026-01-19,IC008,CW05,14,2.75
2026-01-19,IC009,CW01,8,1.44
2026-01-19,IC009,CW02,13,1.44
2026-01-19,IC009,CW03,14,1.44
2026-01-19,IC009,CW04,16,1.44
2026-01-19,IC009,CW05,13,1.44
2026-01-19,IC010,CW01,3,5.79
2026-01-19,IC010,CW02,12,5.79
2026-01-19,IC010,CW03,16,5.79
2026-01-19,IC010,CW04,11,5.79
2026-01-19,IC010,CW05,8,5.79
2026-01-19,IC011,CW01,4,3.13
2026-01-19,IC011,CW02,13,3.13
2026-01-19,IC011,CW03,8,3.13
2026-01-19,IC011,CW04,13,3.13
2026-01-19,IC011,CW05,12,3.13
2026-01-19,IC012,CW01,9,4.92
2026-01-19,IC012,CW02,11,4.92
2026-01-19,IC012,CW03,12,4.92
2026-01-19,IC012,CW04,5,4.92
2026-01-19,IC012,CW05,12,4.92
2026-01-19,IC013,CW01,11,2.5
2026-01-19,IC013,CW02,10,2.5
2026-01-19,IC013,CW03,12,2.5
2026-01-19,IC013,CW04,9,2.5
2026-01-19,IC013,CW05,8,2.5
2026-01-19,IC014,CW01,7,4.59
2026-01-19,IC014,CW02,15,4.59
2026-01-19,IC014,CW03,17,4.59
2026-01-19,IC014,CW04,11,4.59
2026-01-19,IC014,CW05,18,4.59
2026-01-19,IC015,CW01,12,5.31
2026-01-19,IC015,CW02,9,5.31
2026-01-19,IC015,CW03,13,5.31
2026-01-19,IC015,CW04,8,5.31
2026-01-19,IC015,CW05,12,5.31
2026-01-19,IC016,CW01,19,1.55
2026-01-19,IC016,CW02,14,1.55
2026-01-19,IC016,CW03,16,1.55
2026-01-19,IC016,CW04,15,1.55
2026-01-19,IC016,CW05,9,1.55
2026-01-19,IC017,CW01,7,3.3
2026-01-19,IC017,CW02,16,3.3
2026-01-19,IC017,CW03,13,3.3
2026-01-19,IC017,CW04,15,3.3
2026-01-19,IC017,CW05,14,3.3
2026-01-19,IC018,CW01,16,5.15
2026-01-19,IC018,CW02,12,5.15
2026-01-19,IC018,CW03,11,5.15
2026-01-19,IC018,CW04,8,5.15
2026-01-19,IC018,CW05,18,5.15
2026-01-19,IC019,CW01,15,3.32
2026-01-19,IC019,CW02,9,3.32
2026-01-19,IC019,CW03,15,3.32
2026-01-19,IC019,CW04,13,3.32
2026-01-19,IC019,CW05,9,3.32
2026-01-19,IC020,CW01,11,1.45
2026-01-19,IC020,CW02,19,1.45
2026-01-19,IC020,CW03,9,1.45
2026-01-19,IC020,CW04,10,1.45
2026-01-19,IC020,CW05,13,1.45
2026-01-19,IC021,CW01,13,3.44
2026-01-19,IC021,CW02,14,3.44
2026-01-19,IC021,CW03,11,3.44
2026-01-19,IC021,CW04,12,3.44
2026-01-19,IC021,CW05,10,3.44
2026-01-19,IC022,CW01,12,3.68
2026-01-19,IC022,CW02,15,3.68
2026-01-19,IC022,CW03,10,3.68
2026-01-19,IC022,CW04,17,3.68
2026-01-19,IC022,CW05,5,3.68
2026-01-20,IC001,CW01,11,1.94
2026-01-20,IC001,CW02,11,1.94
2026-01-20,IC001,CW03,16,1.94
2026-01-20,IC001,CW04,16,1.94
